travel_id,lodging_nm,lodging_payment_seq,lodging_type_cd,rsvt_yn,chk_in_dt_min,chk_out_dt_min,payment_num,brno,store_nm,road_nm_addr,lotno_addr,road_nm_cd,lotno_cd,payment_dt,payment_mthd_se,payment_amt_won,payment_etc
h_h001079,BK호텔제주,0,1,N,,,1,,,제주특별자치도 서귀포시 칠십리로91번길 12,제주특별자치도 서귀포시 서귀동 777-1,,,,1,40000,
h_h000858,호텔위드제주,0,1,Y,,,2,,,제주특별자치도 제주시 노연로 34,제주특별자치도 제주시 노형동 930-5,,,,1,43000,
h_h003308,호텔휴식 서귀포,0,2,Y,,,2,,,제주특별자치도 서귀포시 중앙로71번길 17,제주특별자치도 서귀포시 서귀동 308-2,,,,1,43000,
h_h003553,제주스테이호텔,1,1,Y,,,2,,제주 스테이호텔,제주특별자치도 제주시 무근성7길 22,제주특별자치도 제주시 삼도이동 1053-15,4847674,5011010600,2023-08-06 19:01:00,3,43000,숙박비 
h_h001574,더포그레스호텔앤리조트,0,4,Y,,,2,,,200,,,,,1,44000,
h_h001195,더오크라호텔,0,1,Y,,,4,,,제주특별자치도 제주시 신광로4길 38,제주특별자치도 제주시 연동 251-41,,,,1,45000,
h_h003579,월정리썬시티 게스트하우스,0,7,Y,,,2,,,제주특별자치도 제주시 구좌읍 월정5길 33,제주특별자치도 제주시 구좌읍 월정리 243,,,,1,45000,
h_h003906,호텔조이,1,2,Y,,,2,,㈜여기어때컴퍼니 ,서울 강남구 봉은사로 479,서울 강남구 삼성동 51-2,3122004,1168010500,2023-07-31 22:43:00,1,45000,숙박비
h_h005082,성산아쿠아비치호텔,0,1,Y,,,3,,,제주특별자치도 서귀포시 성산읍 일주동로 4258,제주특별자치도 서귀포시 성산읍 고성리 1090-16,,,,1,47000,
h_h001211,헤이 서귀포,1,1,Y,,,2,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-21 00:00:00,3,48000,헤이 서귀포
h_h000130,소로소로,0,7,Y,,,1,,,제주특별자치도 제주시 구좌읍 송당7길 3,제주특별자치도 제주시 구좌읍 송당리 1389-6,,,,5,50000,
h_h000837,노블레스관광호텔,0,2,N,,,4,,,278-1,,,,,1,50000,
h_h004331,엠스테이호텔 제주,0,1,Y,,,2,,,제주특별자치도 서귀포시 태평로353번길 14,제주특별자치도 서귀포시 서귀동 829-5,,,,1,50000,
h_h001847,제주서우봉비치호텔,0,1,Y,,,1,,,제주특별자치도 제주시 조천읍 함덕6길 10,제주특별자치도 제주시 조천읍 함덕리 2915,,,,1,53000,
h_h000120,달자게스트하우스,0,7,Y,,,1,,,제주특별자치도 제주시 구좌읍 월정7길 43-2,제주특별자치도 제주시 구좌읍 월정리 66,,,,5,55000,
h_h000926,한라경찰수련원,0,11,Y,,,4,,,제주특별자치도 제주시 명림로 381,제주특별자치도 제주시 봉개동 234-59,,,,1,55000,
h_h001218,호텔 케니 서귀포,0,1,Y,,,1,,,제주특별자치도 서귀포시 동문로 42,제주특별자치도 서귀포시 서귀동 270-9,,,,1,55000,
h_h004207,양이주택,0,7,Y,,,1,,,제주특별자치도 서귀포시 안덕면 사계신항로39번길 17-13,제주특별자치도 서귀포시 안덕면 사계리 3593-8,,,,5,55000,
h_h005280,호텔브릿지 서귀포,0,1,Y,,,2,,,제주특별자치도 서귀포시 태평로 436,제주특별자치도 서귀포시 서귀동 162-4,,,,5,55000,
h_h000276,헤이 서귀포,0,1,Y,,,3,,,제주특별자치도 서귀포시 태평로 363,제주특별자치도 서귀포시 서귀동 820-1,,,,1,50000,
h_h000494,스테이 동백,0,8,Y,,,2,,,제주특별자치도 서귀포시 성산읍 오조로100번길 5,제주특별자치도 서귀포시 성산읍 오조리 710,,,,5,55000,
h_h000585,새마을금고중앙회 새마을금고제주연수원,1,4,Y,,,3,,새마을금고중앙회(MG제주연수원),제주특별자치도 제주시 애월읍 평화로 2175,제주특별자치도 제주시 애월읍 소길리 155-18,3349240,5011025328,2023-06-16 19:45:00,1,55000,
h_h000616,제주웨스턴그레이스 강정점,0,1,Y,,,4,,,제주특별자치도 서귀포시 김정문화로27번길 9-7,제주특별자치도 서귀포시 강정동 173-1,,,,3,55000,
h_h000628,수수민박,0,7,Y,,,1,,,제주특별자치도 서귀포시 색달로81번길 61,제주특별자치도 서귀포시 색달동 2036,,,,5,55000,
h_h001125,아름드리펜션,1,3,Y,,,2,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-13 22:22:00,1,55000,PE-202호 
